"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"NGLY1","207492_at",2.52e-05,9.2e-10,-12.2,11.8217,-3.21614139,"NGLY1","N-glycanase 1","NGLY1"
"KIAA0101","211713_x_at",3.18e-05,1.75e-09,-11.7,11.30792,-2.52135916,"KIAA0101","KIAA0101","KIAA0101"
"KDM6A","238220_at",5.92e-05,7.63e-09,-10.6,10.0901,-2.63590005,"KDM6A","lysine demethylase 6A","KDM6A"
"NAV1","233870_at",5.92e-05,1.14e-08,-10.3,9.75345,-2.75668226,"NAV1","neuron navigator 1","NAV1"
"ZDHHC9","235015_at",5.92e-05,1.26e-08,-10.2,9.66884,-2.1444989,"ZDHHC9","zinc finger DHHC-type containing 9","ZDHHC9"
"SIGLEC17P","232686_at",5.92e-05,1.41e-08,10.1,9.572,2.73667339,"SIGLEC17P","sialic acid binding Ig like lectin 17, pseudogene","SIGLEC17P"
"ARMC8","236966_at",0.0002904,1.12e-07,-8.77,7.77443,-2.94459434,"ARMC8","armadillo repeat containing 8","ARMC8"
"PENK","213791_at",0.0003604,1.58e-07,8.56,7.46421,2.93201054,"PENK","proenkephalin","PENK"
"MIR612","234989_at",0.000495,2.8e-07,-8.21,6.95255,-1.75204475,"MIR612///NEAT1","microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)","MIR612"
"ZCRB1","227416_s_at",0.000495,2.9e-07,8.19,6.92294,1.02594172,"ZCRB1","zinc finger CCHC-type and RNA binding motif containing 1","ZCRB1"
"NCAM1","229799_s_at",0.0005883,3.87e-07,-8.01,6.66139,-1.02377995,"NCAM1","neural cell adhesion molecule 1","NCAM1"
"ZHX1","223213_s_at",0.000601,4.07e-07,7.98,6.6174,1.07036374,"ZHX1","zinc fingers and homeoboxes 1","ZHX1"
"LRRFIP1","238840_at",0.0007495,5.62e-07,-7.79,6.32466,-2.39649904,"LRRFIP1","LRR binding FLII interacting protein 1","LRRFIP1"
"SNRPA1","242146_at",0.0009522,8.01e-07,-7.59,6.00252,-1.37649639,"SNRPA1","small nuclear ribonucleoprotein polypeptide A'","SNRPA1"
"THBS4","204776_at",0.0011455,1.06e-06,7.43,5.74524,2.03760976,"THBS4","thrombospondin 4","THBS4"
"SHISA2","230493_at",0.0011455,1.09e-06,7.41,5.72189,1.97906868,"SHISA2","shisa family member 2","SHISA2"
"IL12RB1","239522_at",0.0012205,1.2e-06,-7.36,5.63114,-2.29697463,"IL12RB1","interleukin 12 receptor subunit beta 1","IL12RB1"
"ECM2","206101_at",0.0012205,1.21e-06,7.36,5.6293,2.71036663,"ECM2","extracellular matrix protein 2","ECM2"
"FOXO1","202723_s_at",0.001246,1.28e-06,7.32,5.57487,2.2697066,"FOXO1","forkhead box O1","FOXO1"
"SFRP4","204052_s_at",0.001246,1.33e-06,7.3,5.54243,2.63090336,"SFRP4","secreted frizzled related protein 4","SFRP4"
"APOPT1","232814_x_at",0.0014858,1.76e-06,-7.14,5.27991,-0.88085224,"APOPT1","apoptogenic 1, mitochondrial","APOPT1"
"NLN","234762_x_at",0.0014858,1.77e-06,-7.14,5.27862,-1.04447449,"NLN","neurolysin","NLN"
"RORA","236266_at",0.0015039,1.82e-06,7.13,5.25322,1.36074804,"RORA","RAR related orphan receptor A","RORA"
"MIR7113","232169_x_at",0.0016284,2.05e-06,-7.06,5.13929,-1.2647251,"MIR7113///MIR4691///NDUFS8","microRNA 7113///microRNA 4691///NADH:ubiquinone oxidoreductase core subunit S8","MIR7113"
"LOC100506639","1557384_at",0.0016327,2.09e-06,-7.05,5.12355,-2.25591808,"LOC100506639///ZNF131","uncharacterized LOC100506639///zinc finger protein 131","LOC100506639"
"PDGFD","219304_s_at",0.0016609,2.16e-06,7.03,5.09471,1.73308843,"PDGFD","platelet derived growth factor D","PDGFD"
"PTN","211737_x_at",0.0016999,2.3e-06,7,5.0364,2.4022797,"PTN","pleiotrophin","PTN"
"SBNO1","229528_at",0.0017101,2.41e-06,-6.97,4.99241,-1.65257172,"SBNO1","strawberry notch homolog 1","SBNO1"
"ZCCHC7","230332_at",0.0017101,2.44e-06,-6.96,4.98105,-1.59562992,"ZCCHC7","zinc finger CCHC-type containing 7","ZCCHC7"
"SEZ6L","207873_x_at",0.0017728,2.56e-06,6.94,4.93605,2.29713729,"SEZ6L","seizure related 6 homolog like","SEZ6L"
"TBC1D16","228488_at",0.0018876,2.87e-06,-6.88,4.83242,-1.46845662,"TBC1D16","TBC1 domain family member 16","TBC1D16"
"SLC4A2","202111_at",0.0019036,2.93e-06,-6.86,4.8112,-1.94498459,"SLC4A2","solute carrier family 4 member 2","SLC4A2"
