"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00881",-3.27191954849996,3.61089147473032,-13.0935191419236,1.03480677554615e-15,7.13706233094177e-11,25.1395629910417
"ADGRD1",-1.41845406021723,7.73877547951722,-11.9275463492757,1.84890894781015e-14,3.18798125326164e-10,22.4803070653607
"GLUL",-1.52909205487223,9.08325581975866,-11.3334336097893,8.57365277050592e-14,9.85541385969655e-10,21.0516621412912
"C1QC",-2.00441786761408,8.12933204024147,-11.2282523092123,1.13020658961531e-13,9.96541410268769e-10,20.7934454972764
"CHST7",-1.88072938860704,6.81212024024126,-11.2197143848423,1.15591290157317e-13,9.96541410268769e-10,20.7724149327673
"PLTP",-2.03912778693331,8.0285475417932,-11.1084600079013,1.55085683990729e-13,1.06962596248406e-09,20.4974082512375
"BIRC3",-1.83189383939661,7.06568467638112,-11.0312098322648,1.90375981714699e-13,1.19365740535116e-09,20.3053994162259
"F13A1",-2.54129913386418,5.09825866682125,-10.9175045418508,2.57799290777218e-13,1.48170142374206e-09,20.0212024372813
"AMD1",-1.17295205104679,10.2773426374379,-10.7527597916734,4.01186436860508e-13,2.09161719208026e-09,19.6060994734022
"CTSC",-1.74312408941246,7.16533122957845,-10.5494474744578,6.95802843207641e-13,3.19930147306873e-09,19.0883688396438
"MAFB",-1.43446300327128,7.62621015839163,-10.4753391433948,8.51598791010475e-13,3.51794562050683e-09,18.8981555822609
"MS4A7",-1.48579814175099,7.35167628542151,-10.4463628843184,9.21784073409727e-13,3.51794562050683e-09,18.8235648598788
"PLIN5",-1.33241526108162,8.53619635105599,-10.4215397982826,9.86577981126496e-13,3.51794562050683e-09,18.7595679778591
"MS4A4A",-2.0496348335427,6.27016932393955,-10.3635203900623,1.15670711467788e-12,3.55919613054576e-09,18.6096370402909
"LILRB5",-1.92301444867367,5.83028331580606,-10.3541335708456,1.18691476007760e-12,3.55919613054576e-09,18.585334018704
"FOLR2",-1.73943822680435,6.35629152949308,-10.2994116783991,1.37971145715173e-12,3.96494579998979e-09,18.4434005785418
"LINC00702",2.56542380780689,10.498381763232,10.2370625960203,1.63860623132299e-12,4.52058687097386e-09,18.2811534392826
"HBA2",4.34221868696276,6.86753574903094,10.1999477499012,1.81567400979316e-12,4.81642447905517e-09,18.1843034763791
"FHL2",-2.088636789921,12.6886144735316,-10.0925699054227,2.44570101659605e-12,6.24740737461591e-09,17.9029781480091
"FCGR2B",-1.83566636512748,7.32697954311772,-10.0109460548745,3.07027147269139e-12,7.30195253350086e-09,17.6880088503559
"ADH1B",-1.90040679831649,7.14985807831198,-9.99242417434082,3.23327398709443e-12,7.43329689633009e-09,17.6390943019265
"LRMDA",-1.55225218195672,5.36808178127192,-9.9582655457354,3.55733872675122e-12,7.80723708674559e-09,17.5487544769263
"CORIN",-3.66669131999332,5.45964583073683,-9.95179781820625,3.62232255728373e-12,7.80723708674559e-09,17.5316301976813
"ZNF703",-1.17906297894459,7.82215735029048,-9.92467415938281,3.908257451426e-12,8.16825807348035e-09,17.4597504506934
"MPEG1",-1.21117495785296,8.61885201950994,-9.91161601120387,4.05399515795125e-12,8.22364841305581e-09,17.4251075008541
"CD163",-2.18758663316296,6.85955032346046,-9.89980501628348,4.19056878518773e-12,8.25781511755423e-09,17.3937520299422
"C1QA",-1.89122248988274,7.75063753018961,-9.87314154339763,4.51634248590971e-12,8.62523426922154e-09,17.3228926902221
"VSIG4",-2.18340286913389,7.00414860325362,-9.80385273443603,5.48865142712859e-12,9.47936320141114e-09,17.1382759126473
"CD209",-1.636309764884,6.50419589907871,-9.80327002644083,5.49767330805344e-12,9.47936320141114e-09,17.1367203859948
"CA14",-1.93525866965688,5.45665918577235,-9.69292843644061,7.50910829876129e-12,1.21558381495315e-08,16.8412874756507
"SLC9A7",-1.24574082746125,8.39109505878784,-9.68967348842594,7.57867247252217e-12,1.21558381495315e-08,16.8325460558107
"HAS2",-2.58560470587455,5.2680573442719,-9.50181332953365,1.29339397120829e-11,2.02357825537793e-08,16.3254719091608
"CFD",-2.38766056192625,8.33144869402186,-9.48994144402022,1.33803291741426e-11,2.02357825537793e-08,16.2932586357279
"LYVE1",-2.20832325656537,7.66014840475014,-9.46468708207385,1.43826772716061e-11,2.11058138600569e-08,16.2246668627379
"MYL3",-1.1343844472345,14.5813559075441,-9.35298050233531,1.98167913739241e-11,2.78931449195826e-08,15.9201878368192
"CD68",-1.92924923968219,7.47971139168695,-9.30738102419842,2.25970048830392e-11,3.05591260153571e-08,15.795392859307
"H4-16",-1.11718862390129,7.10183720208822,-9.28992297204499,2.37635128796957e-11,3.1518643909858e-08,15.7475372111219
"ARL4D",-1.25387541416881,5.38303382184273,-9.21761565100017,2.92837429935799e-11,3.67218137139492e-08,15.548876848872
"MS4A6A",-1.55112459457306,6.82996132445687,-9.12916027397256,3.78433461768341e-11,4.50009583761423e-08,15.3048625968357
"FGF1",-1.64832700766445,6.96971332776356,-9.11873756666978,3.90067198598827e-11,4.53942042062049e-08,15.2760390998846
"PEBP4",-1.77665460981652,9.14728080513505,-9.11449686758923,3.94903907839973e-11,4.53942042062049e-08,15.2643073624252
"MAMDC2",-1.31327532766338,8.55154510880593,-9.08476884047179,4.30563484200621e-11,4.70760916993136e-08,15.1819963350695
"ELL2",-1.10127858720114,9.93339848288423,-9.01452496364561,5.28375860934313e-11,5.43911688487157e-08,14.9870228908758
"NEGR1",-1.58872117389318,8.31266375554753,-8.99072206263328,5.66408619382834e-11,5.66162354765712e-08,14.9208009534214
"LGALS3",-1.28973454449932,9.02903322801024,-8.95161018476811,6.35034802009719e-11,6.12982700649201e-08,14.8118204620373
"FAM107A",-1.40440319144952,9.09404734726849,-8.94971424264065,6.38568127252743e-11,6.12982700649201e-08,14.8065323684673
"POLG-DT",-3.15481902991415,3.2397232202947,-8.9413681816362,6.54360725747181e-11,6.15924814783738e-08,14.7832480386646
"CALCOCO2",-0.951633294572973,10.7447502595606,-8.93146539265456,6.73613891690878e-11,6.19455334798932e-08,14.755608411748
"SELENBP1",-1.60321089029843,8.07800035465889,-8.91200455651165,7.13141082969003e-11,6.4717553279437e-08,14.7012526927953
"MPP3",-1.61969832570421,7.45107409341312,-8.90577505259025,7.26284743851602e-11,6.5054362056422e-08,14.6838423582021
"LPCAT3",-1.12285694690319,8.17220369719996,-8.86056850529195,8.29327525833999e-11,7.26955114157969e-08,14.5573414956033
"ADGRD1-AS1",-1.78457593019961,5.03324118755685,-8.85919809644209,8.32672959525584e-11,7.26955114157969e-08,14.5535024046915
"CD4",-1.38965457578863,7.38887919603642,-8.85421754717678,8.44947126243138e-11,7.28450041212365e-08,14.5395476697332
"SGCD",-1.22243710434644,8.37750949805135,-8.83799174760496,8.8622173083949e-11,7.45398936292679e-08,14.4940623824356
"ATP2A2",-1.36621751806712,14.5828740184238,-8.80775356324446,9.6867855998852e-11,7.95354289076288e-08,14.409202528521
"GRK5",-1.19926160272076,9.45514620097521,-8.79862886153201,9.95057945145032e-11,8.07401723254739e-08,14.3835711451274
"FBXW7",-0.983101112005138,7.40426599040221,-8.75490628775176,1.13193515505658e-10,9.07785670282003e-08,14.2606001112515
"MAN1A1",-1.20656311236076,9.74840493852671,-8.73703468587705,1.19324442179723e-10,9.45954801969599e-08,14.2102626148552
"EGFR",-1.16806094256231,9.54908043532695,-8.72909974403368,1.2215346481735e-10,9.57377780505982e-08,14.1878993494142
"CDIN1",-1.10788029691684,8.95654767536304,-8.72030756962892,1.25367620844962e-10,9.71528630300791e-08,14.1631104002618
"THBS4",1.98146823388542,11.4996671211835,8.69797283814567,1.33923566407449e-10,1.02630093056909e-07,14.1000932377833
"SHISA3",-2.61238249421962,5.95409076588643,-8.67946659690325,1.41459966364699e-10,1.07214218463443e-07,14.0478283448891
"FSTL1",-1.96295513584198,4.83395291641053,-8.59959431222475,1.79248489116153e-10,1.32932992412269e-07,13.8217403421956
"KIFBP",-1.76094226720382,6.12709283612329,-8.57111883108672,1.95070767906976e-10,1.40589307756289e-07,13.7409362693555
"RHOU",-1.45840044491802,6.36212102133983,-8.55799817660909,2.02830532260834e-10,1.42747161326834e-07,13.7036688392735
"AIF1L",-1.03894846431751,8.98307571457523,-8.54358019774992,2.11718924637293e-10,1.46022542322341e-07,13.6626909146061
"NEDD9",-1.60355206354427,8.9578780286218,-8.53463347131418,2.17431835990547e-10,1.46309632011492e-07,13.6372495951504
"PRDX6",-1.02104022234556,11.2591143886256,-8.53020619795253,2.2031638455534e-10,1.46309632011492e-07,13.6246561903781
