"","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"TSPAN6","ENSG00000000003",-0.152692956894247,11.3761477882418,-2.14014615394811,0.0335867998917135,0.0847459068175934,-4.71392368031419,"TSPAN6"
"TNMD","ENSG00000000005",2.7311027121095,6.67858715935269,9.39043661287543,1.62327762163905e-17,1.75694438829589e-15,29.2026926490892,"TNMD"
"DPM1","ENSG00000000419",0.0884075846462871,13.2688522373477,1.38992280677565,0.166138866587871,0.293133960482472,-6.01149240566413,"DPM1"
"SCYL3","ENSG00000000457",-0.116724981906367,11.4813187164732,-2.03708765048041,0.0429942565660222,0.10332643063473,-4.92366123007648,"SCYL3"
"C1orf112","ENSG00000000460",-0.363672990800293,9.46363522489589,-4.58392803074945,8.14440697736307e-06,7.22359886455749e-05,2.96773465014827,"C1orf112"
"FGR","ENSG00000000938",-1.21954795692156,11.1851853887015,-9.45701093799029,1.0500553582531e-17,1.17952434593826e-15,29.6303624255156,"FGR"
"CFH","ENSG00000000971",0.570046183884722,14.3854436450002,4.46782429449602,1.3382814919422e-05,0.000111243310736203,2.49440719562638,"CFH"
"FUCA2","ENSG00000001036",-0.258283883605918,13.5984934825515,-4.20483557206607,3.98075819599299e-05,0.000290056578088816,1.45906987759415,"FUCA2"
"GCLC","ENSG00000001084",-0.0608106631075902,13.021960977996,-0.726977614668553,0.468112543024559,0.612045549485014,-6.70625279946423,"GCLC"
"NFYA","ENSG00000001167",0.0275462190037601,11.5808101691764,0.192795067464614,0.847320352894418,0.90326070860259,-6.95067920885418,"NFYA"
"STPG1","ENSG00000001460",0.000443415463243113,9.91168006720045,0.00640560232221523,0.994895659955018,0.996718252399616,-6.96917545865478,"STPG1"
"NIPAL3","ENSG00000001461",-0.447788179194491,12.8295803577256,-4.83989971626407,2.63782774654327e-06,2.67921302057261e-05,4.0454216950283,"NIPAL3"
"LAS1L","ENSG00000001497",0.153198369678535,12.4062228210339,2.77546553584528,0.00604959788955128,0.0210040275459293,-3.20596376107515,"LAS1L"
"ENPP4","ENSG00000001561",-0.640508101474383,13.6009607343562,-5.12499881376109,7.1408197551587e-07,8.35078082903506e-06,5.29933481606593,"ENPP4"
"SEMA3F","ENSG00000001617",-0.235019328773101,11.6436868457185,-1.51969159454304,0.130210172328346,0.244788998657079,-5.82542296210661,"SEMA3F"
"CFTR","ENSG00000001626",-1.93855218159835,5.85280600663137,-6.28149145553051,2.14330559847328e-09,4.64928028934571e-08,10.9160907133348,"CFTR"
"ANKIB1","ENSG00000001629",-0.168658865574592,12.8774989152195,-1.25960146297669,0.209320484600292,0.346494264017737,-6.1819662553594,"ANKIB1"
"KRIT1","ENSG00000001631",-0.192841641370828,12.7395952524439,-1.20290162922667,0.230474602999897,0.371393666636233,-6.25098604036037,"KRIT1"
"RAD52","ENSG00000002016",0.122254182261482,10.816598922767,1.44009144132652,0.151446984047732,0.273819891377619,-5.94148365022321,"RAD52"
"BAD","ENSG00000002330",0.053208162358013,11.9039013762213,0.213172139302573,0.831415663503852,0.893252967936421,-6.94655867766895,"BAD"
"LAP3","ENSG00000002549",0.0323747015408244,14.1618273974642,0.523309835300498,0.601353527160366,0.723902429932199,-6.83285587419751,"LAP3"
"HS3ST1","ENSG00000002587",-0.097675470933023,8.9930516061244,-0.737821911966068,0.461510686088126,0.606236003008682,-6.69836078096977,"HS3ST1"
"AOC1","ENSG00000002726",0.776837927083264,5.69283330293179,2.06630253805947,0.0401230877102832,0.0978636016088493,-4.86521018161205,"AOC1"
"MAD1L1","ENSG00000002822",0.146879144502991,10.2772342146162,0.908366699249042,0.364807109972327,0.515392157006111,-6.55898283684295,"MAD1L1"
"LASP1","ENSG00000002834",-0.0368771337096483,13.6552318534042,-0.546947699792599,0.585040769205644,0.711436141662033,-6.82027050420399,"LASP1"
"SNX11","ENSG00000002919",-0.189322256459954,11.9086161417362,-2.47191203876045,0.0142971759550019,0.0424139348352455,-3.97213474469772,"SNX11"
"TMEM176A","ENSG00000002933",0.459675326167794,11.9314728613653,2.33950768675192,0.0203222838513601,0.0565578385851232,-4.28027677740223,"TMEM176A"
"M6PR","ENSG00000003056",-0.239512288429209,13.8808847661615,-2.05139051229141,0.0415674482296128,0.100569142421502,-4.89514464645671,"M6PR"
"KLHL13","ENSG00000003096",0.633747667019984,11.3240707887215,4.84017893606187,2.63452263921069e-06,2.67716454598715e-05,4.04662246723417,"KLHL13"
"CYP26B1","ENSG00000003137",0.0932035168154179,9.20958169285315,0.534792962414881,0.593403028750548,0.717750115011424,-6.82681120895439,"CYP26B1"
"ICA1","ENSG00000003147",0.0409530365015094,13.4434058149775,0.594831007552103,0.552646849942107,0.684983152030517,-6.79307821640783,"ICA1"
"DBNDD1","ENSG00000003249",-0.579691335161707,9.1539056003079,-3.17184906421719,0.00176002621358388,0.00754436979052942,-2.08312744814716,"DBNDD1"
"ALS2","ENSG00000003393",-0.118847888132361,13.7844503416741,-1.20712520580832,0.228847895193738,0.369660949088306,-6.24595263690418,"ALS2"
"CASP10","ENSG00000003400",0.0283797624242741,11.5348051330887,0.380279515090528,0.704152328761793,0.804098777008398,-6.89717531443512,"CASP10"
"CFLAR","ENSG00000003402",-0.320899920723654,16.530753407748,-3.70493378941865,0.000275414302842614,0.0015667628325684,-0.362707853822842,"CFLAR"
"TFPI","ENSG00000003436",-0.690807070287285,13.4001416046769,-7.92750967903162,1.69438904986945e-13,8.71561852607353e-12,20.1307674185594,"TFPI"
"NDUFAF7","ENSG00000003509",0.00234809684098813,12.9054392245475,0.0376756119184342,0.969984908953425,0.983136925960158,-6.9684887171596,"NDUFAF7"
"RBM5","ENSG00000003756",0.218380433154467,14.7249408796066,3.50615238012462,0.000564259753088155,0.00287399066885416,-1.0317577671208,"RBM5"
"MTMR7","ENSG00000003987",-0.190535025758487,5.38691782471242,-0.792644994089724,0.428949127810488,0.5758392651828,-6.65668497717232,"MTMR7"
"SLC7A2","ENSG00000003989",-0.382535281986017,13.9730302679478,-2.8730674438583,0.00451600607845339,0.0165924898013331,-2.94219895978959,"SLC7A2"
"ARF5","ENSG00000004059",0.0735726723591803,13.0912252469679,0.603145284749474,0.547113746684064,0.680078841221032,-6.78812508525078,"ARF5"
"SARM1","ENSG00000004139",0.474500912938302,10.9706576377584,7.05735299789504,2.90631407942173e-11,9.78867307689837e-10,15.1032183014807,"SARM1"
"POLDIP2","ENSG00000004142",-0.0924254434915124,15.1580864432256,-1.61907622125685,0.107048989368682,0.210581697091119,-5.67196788474781,"POLDIP2"
"PLXND1","ENSG00000004399",0.0744289023180595,13.7903798348658,0.81799453897117,0.414359903330136,0.56283503177355,-6.63641163839712,"PLXND1"
"AK2","ENSG00000004455",-0.1199034457729,14.4720934154119,-1.68666596305828,0.0932686322295832,0.189426841904121,-5.56220427688369,"AK2"
"CD38","ENSG00000004468",-1.78928822796641,11.4045388355997,-11.3340654092371,3.38803499629792e-23,1.19333483488249e-20,42.056117166923,"CD38"
"FKBP4","ENSG00000004478",-0.0695483978442137,13.7726724900964,-0.631348189258365,0.528553132438103,0.664641331550055,-6.77081339465676,"FKBP4"
"KDM1A","ENSG00000004487",-0.0953412923769701,13.2182813054932,-2.47325704481988,0.0142451478464747,0.0423079058736015,-3.96892272757363,"KDM1A"
"RBM6","ENSG00000004534",0.0386759699614938,14.6665001560116,0.490538004387637,0.624305426446499,0.742839454164597,-6.8493872372823,"RBM6"
"CAMKK1","ENSG00000004660",0.368498610819994,10.314538561289,2.92841018815243,0.00381314300855503,0.0144179266486139,-2.78892081630409,"CAMKK1"
"RECQL","ENSG00000004700",-0.0444797104936399,13.388994983444,-0.507608817067559,0.612302031441989,0.733090310272281,-6.84090906997684,"RECQL"
"VPS50","ENSG00000004766",-0.184894424711247,12.372415690391,-1.77027043011724,0.0782465187464062,0.165601477346885,-5.4204090877351,"VPS50"
