,logFC,AveExpr,t,P.Value,adj.P.Val,B
SERPINA3,-5.159595462,5.089482736,-8.509809286,2.98E-09,2.45E-05,10.88656676
WNT9A,3.436242166,4.4402105,8.461523909,3.35E-09,2.45E-05,10.78314515
CD163,-3.399282126,7.363001815,-8.206319278,6.22E-09,3.03E-05,10.23041752
FCN3,-2.988638271,4.841714505,-7.189576857,7.96E-08,0.000290881,7.92881739
C1QB,-2.986883674,6.729942687,-7.024091146,1.22E-07,0.000291929,7.539833927
METTL7B,-2.685255778,4.200241915,-7.002729831,1.29E-07,0.000291929,7.489346767
TLL2,1.848571926,7.367993141,6.971558771,1.40E-07,0.000291929,7.41556277
DNAAF3,2.20306269,7.219512416,6.853036364,1.90E-07,0.00033221,7.133817817
EIF4EBP1,-1.705713946,5.299017529,-6.807579943,2.14E-07,0.00033221,7.025267137
VSIG4,-3.194312933,6.018822766,-6.785111519,2.27E-07,0.00033221,6.971512553
ARNTL,-1.908035977,5.022786822,-6.617700057,3.53E-07,0.000428167,6.568958244
LYVE1,-2.769430039,6.817944618,-6.590659449,3.79E-07,0.000428167,6.503608119
ST8SIA2,1.572533397,6.187166558,6.588646302,3.81E-07,0.000428167,6.498739284
C3AR1,-2.457191658,4.552294289,-6.205864286,1.05E-06,0.001025586,5.564390548
G0S2,-1.633579577,7.773668124,-6.137976266,1.26E-06,0.001153064,5.397006877
C1QC,-2.442863414,6.691250576,-6.02367054,1.72E-06,0.001474904,5.114140908
LILRB1,-2.046403063,3.268403972,-5.999771178,1.83E-06,0.001485441,5.054840872
TUBA3E,-3.029048868,4.881591245,-5.875881313,2.56E-06,0.001965077,4.746615921
ANKRD33B,1.847775203,4.353334385,5.824851109,2.93E-06,0.00214274,4.619275343
ALOX5AP,-2.183574368,3.563476175,-5.773307553,3.37E-06,0.002179748,4.490440499
S1PR3,-1.65686102,7.371423799,-5.748614106,3.61E-06,0.002179748,4.428645276
VAV1,-1.897559073,3.858687726,-5.733856746,3.75E-06,0.002179748,4.39169308
ITGB2,-2.114142753,6.237286687,-5.714695034,3.95E-06,0.002179748,4.343688384
DANT2,1.846971689,4.925588638,5.714226165,3.96E-06,0.002179748,4.342513418
MAP3K8,-1.607760538,5.122067952,-5.703943614,4.07E-06,0.002179748,4.316741758
TUBA3D,-2.831021004,5.794015142,-5.700073006,4.11E-06,0.002179748,4.30703869
CD84,-2.292020563,4.272578525,-5.694239537,4.18E-06,0.002179748,4.292412977
ATRNL1,2.488282864,6.702204981,5.681231884,4.33E-06,0.002180142,4.259791397
