,adj.P.Val,P.Value,t,B,logFC
TUBA3E,1.18E-42,3.12E-47,-21.4860504,96.640619,-2.17304548
CEBPD,9.64E-42,5.10E-46,-20.9529161,93.903921,-2.30803896
TUBA3C,1.11E-41,8.81E-46,-20.8493442,93.367919,-2.03736009
ZFP36,1.77E-41,1.88E-45,-20.7065278,92.626502,-2.23953192
RASD1,1.85E-41,2.45E-45,-20.6562453,92.364826,-3.51433754
TUBA3D,1.63E-40,2.59E-44,-20.2147745,90.053075,-2.20485644
CDC42EP4,8.63E-40,1.60E-43,-19.8769451,88.266747,-1.21330281
SERPINA3,1.75E-38,3.70E-42,-19.2995241,85.179003,-3.56140969
AXUD1,1.59E-37,3.77E-41,-18.8781705,82.898536,-2.10449451
S100A9,8.25E-37,2.18E-40,-18.5621038,81.172952,-2.91453694
MYH6,8.89E-37,2.58E-40,-18.5317199,81.006399,-1.91454691
FCN3,1.57E-36,4.98E-40,-18.413998,80.359988,-2.03804644
MT1M,3.08E-36,1.06E-39,-18.2796158,79.619959,-2.2243011
LYVE1,7.08E-36,2.62E-39,-18.1181654,78.727869,-1.87318992
MAP3K6,9.02E-36,3.57E-39,-18.0628864,78.421678,-1.1559772
PRKCD,7.97E-35,3.37E-38,-17.6663435,76.214144,-0.72957472
CD163,2.34E-34,1.05E-37,-17.4665821,75.094799,-2.1365058
YPEL2,5.72E-34,2.72E-37,17.3000117,74.157762,1.07245446
S1PR3,6.55E-34,3.29E-37,-17.2667727,73.97038,-1.00883608
C1R,7.25E-34,3.83E-37,-17.2399834,73.819262,-1.18222354
FPR1,7.54E-33,4.18E-36,-16.8245118,71.464806,-1.37062697
FCER1G,2.33E-32,1.36E-35,-16.6214497,70.306813,-1.49560075
FKBP5,5.54E-32,3.37E-35,-16.464713,69.409815,-1.93381635
PIK3IP1,7.09E-32,4.50E-35,16.4149371,69.124377,1.35519962
AP3M2,9.50E-32,6.28E-35,16.3576932,68.795776,0.83050502
MYC,9.52E-32,6.54E-35,-16.3507376,68.755823,-1.51073199
MT1X,1.71E-31,1.22E-34,-16.2442151,68.143309,-2.37195884
S100A8,2.06E-31,1.52E-34,-16.2059675,67.923081,-2.64836621
MAFB,6.28E-31,4.81E-34,-16.0092202,66.787739,-1.33877852
CMTM7,9.85E-31,7.81E-34,-15.9267306,66.310509,-0.7255497
JAK2,1.36E-30,1.15E-33,15.8612848,65.931378,1.21007789
SLA,1.36E-30,1.13E-33,-15.8643885,65.949368,-0.87737802
SCN2B,1.80E-30,1.57E-33,15.8079582,65.622127,1.28629781
FES,2.19E-30,1.96E-33,-15.7698588,65.401002,-0.77112181
DYRK1B,2.89E-30,2.67E-33,15.7177089,65.098089,0.60240745
ZDHHC9,6.37E-30,6.06E-33,-15.57873,64.289493,-1.00684147
GALK1,6.40E-30,6.25E-33,-15.5733899,64.258385,-0.74436233
PROS1,6.42E-30,6.45E-33,15.5681679,64.227963,1.4721437
CHN1,6.80E-30,7.01E-33,15.5540148,64.145496,0.64336027
NFKBIZ,7.19E-30,7.59E-33,-15.5404969,64.066711,-0.92098396
C7ORF41,7.25E-30,7.85E-33,15.534851,64.0338,1.30597439
TIPARP,8.98E-30,9.96E-33,-15.494613,63.799157,-1.30204769
SLCO4A1,1.20E-29,1.37E-32,-15.441235,63.487646,-1.00128268
LOC653888,1.50E-29,1.75E-32,-15.399717,63.245157,-1.20753195
CORO1A,2.00E-29,2.38E-32,-15.347489,62.939881,-0.79180014
ALOX5,3.54E-29,4.30E-32,-15.2477306,62.356065,-0.89813255
CTSC,5.47E-29,6.79E-32,-15.1708545,61.905525,-1.24888444
SORBS2,5.49E-29,6.97E-32,15.1664914,61.879938,0.82665096
CD97,7.04E-29,9.11E-32,-15.1213718,61.615238,-0.79442981
XLKD1,7.20E-29,9.51E-32,-15.1141931,61.573106,-1.16000605
HS.177532,2.09E-28,2.82E-31,14.931832,60.501259,1.05903486
STAT3,2.38E-28,3.26E-31,-14.9072143,60.35634,-1.11887177
SEC14L1,3.37E-28,4.71E-31,-14.8455895,59.993334,-0.52407175
MT1A,3.69E-28,5.27E-31,-14.8269166,59.883275,-1.54949645
PIM1,3.93E-28,5.71E-31,-14.8135172,59.80428,-1.3637695
ARPC1B,6.46E-28,9.56E-31,-14.727293,59.295584,-0.96569673
IFITM2,9.41E-28,1.42E-30,-14.6614999,58.907005,-1.20818975
HCK,9.92E-28,1.52E-30,-14.6497923,58.837821,-0.63720581
EBI2,1.10E-27,1.71E-30,-14.6299161,58.720341,-0.58686946
WAS,1.20E-27,1.91E-30,-14.6120401,58.614655,-0.93873277
ITGB2,1.55E-27,2.50E-30,-14.5665337,58.345497,-1.41317828
SMOC2,1.76E-27,2.88E-30,14.5430865,58.206748,1.48705156
F13A1,2.26E-27,3.76E-30,-14.4986739,57.943816,-1.57870018
CD248,2.37E-27,4.01E-30,-14.4878994,57.880005,-0.98348919
RANGAP1,2.50E-27,4.29E-30,-14.476824,57.814402,-0.9412308
LCP1,3.02E-27,5.26E-30,-14.4426825,57.612112,-1.41008635
IFITM3,3.07E-27,5.44E-30,-14.4370959,57.579002,-1.18606531
SMYD2,4.09E-27,7.35E-30,14.3869663,57.281796,0.86085362
HCLS1,4.52E-27,8.25E-30,-14.3678936,57.168667,-1.11617452
IL18R1,5.47E-27,1.03E-29,-14.3314719,56.952558,-0.79062641
SLCO2B1,5.47E-27,1.02E-29,-14.3325753,56.959106,-0.91150625
BTG2,6.44E-27,1.22E-29,-14.3021059,56.77824,-1.52099629
CHRDL2,7.62E-27,1.47E-29,-14.2717257,56.597834,-1.17133655
MGST1,9.08E-27,1.77E-29,-14.2404361,56.411957,-0.68060702
C10ORF71,1.32E-26,2.61E-29,14.176035,56.029154,0.8531474
IRX6,1.43E-26,2.86E-29,14.1610141,55.939826,1.38434376
INPP1,1.70E-26,3.46E-29,-14.1294722,55.752197,-0.69569656
IL13RA1,1.96E-26,4.04E-29,-14.1039356,55.600239,-0.83335275
MGC42367,1.99E-26,4.15E-29,-14.0992891,55.572585,-1.02464719
HS.19985,2.01E-26,4.26E-29,-14.0949275,55.546625,-0.84378608
SAP18,2.01E-26,4.31E-29,14.0932169,55.536443,0.63484448
CHST7,2.13E-26,4.62E-29,-14.0815777,55.467159,-1.07128497
MFSD10,2.51E-26,5.50E-29,-14.0525289,55.294201,-0.66273093
BCL6,2.99E-26,6.64E-29,-14.0214007,55.108798,-0.93234362
LMOD2,6.30E-26,1.42E-28,13.8961208,54.361956,1.28498982
NFKBIA,6.43E-26,1.46E-28,-13.890717,54.329719,-1.0725341
TUBB2C,9.48E-26,2.18E-28,-13.824605,53.935164,-0.96144653
LOC653879,9.94E-26,2.31E-28,-13.8149012,53.877228,-1.13385434
C1QC,1.34E-25,3.16E-28,-13.7633099,53.569109,-1.33065662
MNS1,1.37E-25,3.28E-28,13.7568918,53.530767,0.47120377
SLC15A3,1.37E-25,3.28E-28,-13.7570613,53.53178,-0.89432694
MT2A,1.42E-25,3.46E-28,-13.7483887,53.479965,-1.74698353
NNMT,1.51E-25,3.70E-28,-13.7372199,53.41323,-0.90749123
CYBA,1.54E-25,3.82E-28,-13.7317281,53.380413,-0.98379687
C1ORF162,1.94E-25,4.93E-28,-13.6898838,53.130306,-1.04252212
C1QB,1.94E-25,4.93E-28,-13.6897866,53.129725,-1.46862613
DOCK2,1.98E-25,5.17E-28,-13.6818057,53.082011,-0.86968445
LAPTM5,1.98E-25,5.15E-28,-13.6824238,53.085706,-1.13070379
RHBDF2,1.98E-25,5.18E-28,-13.6814602,53.079945,-0.58288311
ZNF415,2.05E-25,5.41E-28,13.6742729,53.036972,0.58972087
ZGPAT,2.63E-25,7.02E-28,-13.6312887,52.779905,-0.41744188
HEG1,2.69E-25,7.25E-28,13.6260389,52.748501,0.67458805
LRRC8A,2.73E-25,7.43E-28,-13.62208,52.724818,-0.9610473
CEBPB,2.80E-25,7.69E-28,-13.6163407,52.690483,-1.01241354
CD14,3.55E-25,9.85E-28,-13.5754792,52.445977,-1.3936196
C5ORF4,4.28E-25,1.20E-27,13.5431565,52.252499,0.5670466
FGD2,4.35E-25,1.23E-27,-13.5389773,52.227479,-0.70576743
CD68,4.51E-25,1.29E-27,-13.5312209,52.18104,-0.93808795
MBP,5.51E-25,1.59E-27,13.4968713,51.975344,0.96289548
S100A10,5.92E-25,1.74E-27,-13.4818391,51.885306,-1.03559672
ZNF627,5.92E-25,1.73E-27,13.4822358,51.887682,0.47000385
MASP1,6.02E-25,1.78E-27,13.4777312,51.860699,0.82519411
TKT,6.31E-25,1.88E-27,-13.4685592,51.805754,-1.03925045
VAMP8,6.42E-25,1.93E-27,-13.4641078,51.779086,-0.93200033
TSPYL2,6.76E-25,2.05E-27,-13.4542077,51.719772,-0.68760153
TDRD9,7.35E-25,2.25E-27,-13.4389371,51.628271,-0.72255815
SRGN,7.53E-25,2.33E-27,-13.4337012,51.596895,-1.20638064
ALOX5AP,7.90E-25,2.48E-27,-13.4231008,51.533369,-1.38510097
FRZB,7.90E-25,2.49E-27,13.4228231,51.531704,1.39985548
IVNS1ABP,8.63E-25,2.74E-27,13.4070206,51.436991,0.78341203
LILRA5,8.93E-25,2.86E-27,-13.3999558,51.394643,-0.77015232
C14ORF132,1.00E-24,3.23E-27,13.3794319,51.271605,1.30366998
FAM110B,1.03E-24,3.36E-27,13.3733027,51.234858,0.7688272
SLC12A9,1.08E-24,3.55E-27,-13.3639847,51.178988,-0.60054858
HAVCR2,1.12E-24,3.70E-27,-13.3572253,51.138456,-1.05198211
GPR56,1.18E-24,3.94E-27,-13.3469263,51.076695,-0.88499623
MTCH1,1.19E-24,3.98E-27,-13.3452152,51.066434,-0.50508148
CCND2,1.36E-24,4.60E-27,13.3214462,50.923876,0.69704607
ARHGAP4,1.70E-24,5.80E-27,-13.2832417,50.69468,-0.55525038
CAPN1,1.77E-24,6.09E-27,-13.2752158,50.646523,-0.63387474
MVP,1.82E-24,6.30E-27,-13.269527,50.612386,-0.80973622
LYPLAL1,2.01E-24,7.00E-27,13.2522998,50.509004,0.80354441
OSR1,2.09E-24,7.34E-27,-13.2445069,50.462233,-1.05381223
CD209,2.53E-24,8.94E-27,-13.2119882,50.267034,-0.98974888
SYF2,2.75E-24,9.82E-27,13.1965835,50.174549,0.49922745
CYP2J2,2.88E-24,1.04E-26,13.1877607,50.121574,0.92483275
IFI30,3.06E-24,1.11E-26,-13.1769563,50.056696,-0.79741718
ACE2,3.84E-24,1.40E-26,13.1382006,49.823937,1.82110406
DDIT3,4.04E-24,1.50E-26,13.1274397,49.759298,0.69752619
SORBS1,4.04E-24,1.48E-26,13.1287323,49.767062,0.78698389
LILRB5,4.12E-24,1.54E-26,-13.1229846,49.732535,-0.55586722
ATPIF1,4.15E-24,1.56E-26,13.1207821,49.719304,0.79072306
PRICKLE1,4.23E-24,1.60E-26,13.1165745,49.694027,1.03418066
HES6,4.28E-24,1.63E-26,-13.1134521,49.675268,-0.7542047
SEMA4B,4.86E-24,1.86E-26,-13.0913458,49.54245,-0.67763068
