,logFC,AveExpr,t,P.Value,adj.P.Val,B
LINC00881,-3.271919548,3.610891475,-13.09351914,1.03E-15,7.14E-11,25.13956299
ADGRD1,-1.41845406,7.73877548,-11.92754635,1.85E-14,3.19E-10,22.48030707
GLUL,-1.529092055,9.08325582,-11.33343361,8.57E-14,9.86E-10,21.05166214
C1QC,-2.004417868,8.12933204,-11.22825231,1.13E-13,9.97E-10,20.7934455
CHST7,-1.880729389,6.81212024,-11.21971438,1.16E-13,9.97E-10,20.77241493
PLTP,-2.039127787,8.028547542,-11.10846001,1.55E-13,1.07E-09,20.49740825
BIRC3,-1.831893839,7.065684676,-11.03120983,1.90E-13,1.19E-09,20.30539942
F13A1,-2.541299134,5.098258667,-10.91750454,2.58E-13,1.48E-09,20.02120244
AMD1,-1.172952051,10.27734264,-10.75275979,4.01E-13,2.09E-09,19.60609947
CTSC,-1.743124089,7.16533123,-10.54944747,6.96E-13,3.20E-09,19.08836884
MAFB,-1.434463003,7.626210158,-10.47533914,8.52E-13,3.52E-09,18.89815558
MS4A7,-1.485798142,7.351676285,-10.44636288,9.22E-13,3.52E-09,18.82356486
PLIN5,-1.332415261,8.536196351,-10.4215398,9.87E-13,3.52E-09,18.75956798
MS4A4A,-2.049634834,6.270169324,-10.36352039,1.16E-12,3.56E-09,18.60963704
LILRB5,-1.923014449,5.830283316,-10.35413357,1.19E-12,3.56E-09,18.58533402
FOLR2,-1.739438227,6.356291529,-10.29941168,1.38E-12,3.96E-09,18.44340058
LINC00702,2.565423808,10.49838176,10.2370626,1.64E-12,4.52E-09,18.28115344
HBA2,4.342218687,6.867535749,10.19994775,1.82E-12,4.82E-09,18.18430348
FHL2,-2.08863679,12.68861447,-10.09256991,2.45E-12,6.25E-09,17.90297815
FCGR2B,-1.835666365,7.326979543,-10.01094605,3.07E-12,7.30E-09,17.68800885
ADH1B,-1.900406798,7.149858078,-9.992424174,3.23E-12,7.43E-09,17.6390943
LRMDA,-1.552252182,5.368081781,-9.958265546,3.56E-12,7.81E-09,17.54875448
CORIN,-3.66669132,5.459645831,-9.951797818,3.62E-12,7.81E-09,17.5316302
ZNF703,-1.179062979,7.82215735,-9.924674159,3.91E-12,8.17E-09,17.45975045
MPEG1,-1.211174958,8.61885202,-9.911616011,4.05E-12,8.22E-09,17.4251075
CD163,-2.187586633,6.859550323,-9.899805016,4.19E-12,8.26E-09,17.39375203
C1QA,-1.89122249,7.75063753,-9.873141543,4.52E-12,8.63E-09,17.32289269
VSIG4,-2.183402869,7.004148603,-9.803852734,5.49E-12,9.48E-09,17.13827591
CD209,-1.636309765,6.504195899,-9.803270026,5.50E-12,9.48E-09,17.13672039
CA14,-1.93525867,5.456659186,-9.692928436,7.51E-12,1.22E-08,16.84128748
SLC9A7,-1.245740827,8.391095059,-9.689673488,7.58E-12,1.22E-08,16.83254606
HAS2,-2.585604706,5.268057344,-9.50181333,1.29E-11,2.02E-08,16.32547191
CFD,-2.387660562,8.331448694,-9.489941444,1.34E-11,2.02E-08,16.29325864
LYVE1,-2.208323257,7.660148405,-9.464687082,1.44E-11,2.11E-08,16.22466686
MYL3,-1.134384447,14.58135591,-9.352980502,1.98E-11,2.79E-08,15.92018784
CD68,-1.92924924,7.479711392,-9.307381024,2.26E-11,3.06E-08,15.79539286
H4-16,-1.117188624,7.101837202,-9.289922972,2.38E-11,3.15E-08,15.74753721
ARL4D,-1.253875414,5.383033822,-9.217615651,2.93E-11,3.67E-08,15.54887685
MS4A6A,-1.551124595,6.829961324,-9.129160274,3.78E-11,4.50E-08,15.3048626
FGF1,-1.648327008,6.969713328,-9.118737567,3.90E-11,4.54E-08,15.2760391
PEBP4,-1.77665461,9.147280805,-9.114496868,3.95E-11,4.54E-08,15.26430736
MAMDC2,-1.313275328,8.551545109,-9.08476884,4.31E-11,4.71E-08,15.18199634
ELL2,-1.101278587,9.933398483,-9.014524964,5.28E-11,5.44E-08,14.98702289
NEGR1,-1.588721174,8.312663756,-8.990722063,5.66E-11,5.66E-08,14.92080095
LGALS3,-1.289734544,9.029033228,-8.951610185,6.35E-11,6.13E-08,14.81182046
FAM107A,-1.404403191,9.094047347,-8.949714243,6.39E-11,6.13E-08,14.80653237
POLG-DT,-3.15481903,3.23972322,-8.941368182,6.54E-11,6.16E-08,14.78324804
CALCOCO2,-0.951633295,10.74475026,-8.931465393,6.74E-11,6.19E-08,14.75560841
SELENBP1,-1.60321089,8.078000355,-8.912004557,7.13E-11,6.47E-08,14.70125269
MPP3,-1.619698326,7.451074093,-8.905775053,7.26E-11,6.51E-08,14.68384236
LPCAT3,-1.122856947,8.172203697,-8.860568505,8.29E-11,7.27E-08,14.5573415
ADGRD1-AS1,-1.78457593,5.033241188,-8.859198096,8.33E-11,7.27E-08,14.5535024
CD4,-1.389654576,7.388879196,-8.854217547,8.45E-11,7.28E-08,14.53954767
SGCD,-1.222437104,8.377509498,-8.837991748,8.86E-11,7.45E-08,14.49406238
ATP2A2,-1.366217518,14.58287402,-8.807753563,9.69E-11,7.95E-08,14.40920253
GRK5,-1.199261603,9.455146201,-8.798628862,9.95E-11,8.07E-08,14.38357115
FBXW7,-0.983101112,7.40426599,-8.754906288,1.13E-10,9.08E-08,14.26060011
MAN1A1,-1.206563112,9.748404939,-8.737034686,1.19E-10,9.46E-08,14.21026261
EGFR,-1.168060943,9.549080435,-8.729099744,1.22E-10,9.57E-08,14.18789935
CDIN1,-1.107880297,8.956547675,-8.72030757,1.25E-10,9.72E-08,14.1631104
THBS4,1.981468234,11.49966712,8.697972838,1.34E-10,1.03E-07,14.10009324
SHISA3,-2.612382494,5.954090766,-8.679466597,1.41E-10,1.07E-07,14.04782834
FSTL1,-1.962955136,4.833952916,-8.599594312,1.79E-10,1.33E-07,13.82174034
